----------------Prefab----------------------
undles\UI\Blood\UIBattleFly_UpLv.prefab   升级
undles\UI\Dlg\DlgCellDungeonSettlement.prefab   通关奖励
undles\UI\Dlg\DlgCellDungeonSettlement.prefab   经验+
undles\UI\Dlg\DlgCellDungeonSettlement.prefab   金币+
undles\UI\Dlg\DlgCellDungeonSettlement.prefab   挑战时间少于5分钟
undles\UI\Dlg\DlgCellDungeonSettlement.prefab   挑战成功
undles\UI\Dlg\DlgChat.prefab   世界
undles\UI\Dlg\DlgChat.prefab   队伍
undles\UI\Dlg\DlgChat.prefab   家族
undles\UI\Dlg\DlgChat.prefab   系统
undles\UI\Dlg\DlgChat.prefab   拾取
undles\UI\Dlg\DlgChat.prefab   拍卖
undles\UI\Dlg\DlgChat.prefab   点击输入聊天信息
undles\UI\Dlg\DlgChat.prefab   发送信息
undles\UI\Dlg\DlgChat.prefab   表情
undles\UI\Dlg\DlgChengJiu.prefab   首页
undles\UI\Dlg\DlgChengJiu.prefab   成就
undles\UI\Dlg\DlgChengJiu.prefab   精灵
undles\UI\Dlg\DlgChengJiu.prefab   图鉴
undles\UI\Dlg\DlgChengJiuActivite.prefab   成就名字
undles\UI\Dlg\DlgChouKa.prefab   探宝说明
undles\UI\Dlg\DlgChouKa.prefab   探宝1次
undles\UI\Dlg\DlgChouKa.prefab   探宝10次
undles\UI\Dlg\DlgChouKa.prefab   储藏仓库
undles\UI\Dlg\DlgChouKa.prefab   选择
undles\UI\Dlg\DlgChouKa.prefab   5:14:52秒后免费领取
undles\UI\Dlg\DlgChouKa.prefab   53:14:52秒后免费领取
undles\UI\Dlg\DlgChouKa.prefab   次数：1
undles\UI\Dlg\DlgChouKaProbExplain.prefab   1.抽奖获得的各个奖励,其概率完全由系统随机决定。\n2.每次使用钻石抽取会计入当前的累计次数,累计次数达到一定值可以领取奖励，累计次数每日清空。
undles\UI\Dlg\DlgChouKaProbExplain.prefab   探索说明
undles\UI\Dlg\DlgChouKaProbExplain.prefab   概率说明
undles\UI\Dlg\DlgChouKaProbExplain.prefab   神兽碎片
undles\UI\Dlg\DlgChouKaProbExplain.prefab   约1%
undles\UI\Dlg\DlgChouKaProbExplain.prefab   橙色道具及装备
undles\UI\Dlg\DlgChouKaProbExplain.prefab   约14%
undles\UI\Dlg\DlgChouKaProbExplain.prefab   紫色材料及装备
undles\UI\Dlg\DlgChouKaProbExplain.prefab   约30%
undles\UI\Dlg\DlgChouKaProbExplain.prefab   其余材料及装备
undles\UI\Dlg\DlgChouKaProbExplain.prefab   约54%
undles\UI\Dlg\DlgChouKaReward.prefab   今日次数:10
undles\UI\Dlg\DlgChouKaReward.prefab   提示：每日次数大于250次后，探宝消耗自动打8折
undles\UI\Dlg\DlgChouKaWarehouse.prefab   快速取出
undles\UI\Dlg\DlgChouKaWarehouse.prefab   快速出售
undles\UI\Dlg\DlgCommonProperty.prefab   怪物名称
undles\UI\Dlg\DlgCommonProperty.prefab   血量
undles\UI\Dlg\DlgCommonReward.prefab   获得奖励
undles\UI\Dlg\DlgCountry.prefab   活跃
undles\UI\Dlg\DlgCountry.prefab   签到
undles\UI\Dlg\DlgCountry.prefab   活动
undles\UI\Dlg\DlgCountry.prefab   宠物挑战
undles\UI\Dlg\DlgCountryHuoDongJieShao.prefab   世界领主活动玩法介绍
undles\UI\Dlg\DlgCountryHuoDongJieShao.prefab   1.当领主刷新出来后，玩家前往密境之地击败领主，领主携带的宝物会掉落在地上让玩家自由拾取。\n2.玩家在密境地图无法互相进行攻击。\n3.每次击败领主会根据当前领主的伤害排名，对具有不同贡献的玩家发放奖励。\n排行奖励如下：\n第1名           金币*15万   装备晶石*100\n第2名           金币*10万   装备晶石*75\n第3名           金币*7.5万   装备晶石*50\n第4-5名       金币*5万  装备晶石*40\n第6-10名     金币*3万  装备晶石*30\n第11-20名   金币*2万 装备晶石*20\n以上奖励在活动结束时通过邮件进行发放。
undles\UI\Dlg\DlgCreateRole.prefab   创建角色
undles\UI\Dlg\DlgCreateRole.prefab   猎人
undles\UI\Dlg\DlgCreateRole.prefab   职业介绍
undles\UI\Dlg\DlgCreateRole.prefab   战士多为勇士后人，骁勇善战，始终将荣耀摆在最先，在感受到征召的号角后，总是第一时间冲锋陷阵，无所畏惧。
undles\UI\Dlg\DlgCreateRole.prefab   善于运用魔法的力量，喜欢研究如何将自己的法术能力发挥到极致，领悟了魔法的奥秘，法师的能力将无所畏惧。
undles\UI\Dlg\DlgCreateRole.prefab   猎人描述........
undles\UI\Dlg\DlgCreateRole.prefab   技能展示
undles\UI\Dlg\DlgCreateRole.prefab   角色名称
undles\UI\Dlg\DlgCreateRole.prefab   随机名称
undles\UI\Dlg\DlgDamageValue.prefab   数据详情
undles\UI\Dlg\DlgDemonMain.prefab   准备倒计时 0:0
undles\UI\Dlg\DlgDemonMain.prefab   第1名 玩家1
undles\UI\Dlg\DlgDemonMain.prefab   玩家排名
undles\UI\Dlg\DlgDonation.prefab   家族争霸
undles\UI\Dlg\DlgDragonDungeon.prefab   副本
undles\UI\Dlg\DlgDragonDungeon.prefab   我的
undles\UI\Dlg\DlgDragonDungeonCreate.prefab   沼泽副本
undles\UI\Dlg\DlgDragonDungeonCreate.prefab   推荐等级: 1-10级
undles\UI\Dlg\DlgDragonDungeonCreate.prefab   推荐人数: 3人
undles\UI\Dlg\DlgDragonDungeonCreate.prefab   副本描述副本描述副本描述副本描述副本描述副本描述副本描述副本描述副本描述副本描述副本描副本描述副本描述副本描述副本描述副本描述副本描述副本描述副本描述副本描述副本描述副本描
undles\UI\Dlg\DlgDragonDungeonCreate.prefab   1人
undles\UI\Dlg\DlgDragonDungeonCreate.prefab   推荐等级:
undles\UI\Dlg\DlgDragonDungeonCreate.prefab   人数要求:
undles\UI\Dlg\DlgDragonDungeonCreate.prefab   40级
undles\UI\Dlg\DlgDragonDungeonCreate.prefab   掉落道具
undles\UI\Dlg\DlgDragonDungeonCreate.prefab   帮助副本
undles\UI\Dlg\DlgDragonDungeonCreate.prefab   消耗精力:
undles\UI\Dlg\DlgDragonDungeonCreate.prefab   深渊模式
undles\UI\Dlg\DlgDragonDungeonPrepare.prefab   进入准备
undles\UI\Dlg\DlgDragonDungeonPrepare.prefab   10级
undles\UI\Dlg\DlgDragonDungeonPrepare.prefab   已同意
undles\UI\Dlg\DlgDragonDungeonPrepare.prefab   拒绝进入
undles\UI\Dlg\DlgDragonDungeonPrepare.prefab   等待确认..
undles\UI\Dlg\DlgDragonDungeonPrepare.prefab   玩家11111
undles\UI\Dlg\DlgDragonDungeonPrepare.prefab   倒计时：10秒
undles\UI\Dlg\DlgDragonDungeonSettlement.prefab   玩家名字
undles\UI\Dlg\DlgDragonDungeonSettlement.prefab   等级：70
undles\UI\Dlg\DlgDragonDungeonSettlement.prefab   伤害：70
undles\UI\Dlg\DlgDragonDungeonSettlement.prefab   额外奖励
undles\UI\Dlg\DlgDragonDungeonSettlement.prefab   关闭
undles\UI\Dlg\DlgDragonDungeonSettlement.prefab   通关宝箱
undles\UI\Dlg\DlgDragonDungeonSettlement.prefab   周卡奖励
undles\UI\Dlg\DlgDragonDungeonSettlement.prefab   玩家列表
undles\UI\Dlg\DlgDragonDungeonSettlement.prefab   通关副本
undles\UI\Dlg\DlgDungeon.prefab   即将刷新的领主
undles\UI\Dlg\DlgDungeon.prefab   显示设置
undles\UI\Dlg\DlgDungeon.prefab   关卡战役
undles\UI\Dlg\DlgDungeonHappyMain.prefab   金币移动
undles\UI\Dlg\DlgDungeonHappyMain.prefab   冷却时间：0:25
undles\UI\Dlg\DlgDungeonHappyMain.prefab   消耗金币：10000
undles\UI\Dlg\DlgDungeonHappyMain.prefab   消耗钻石：100
undles\UI\Dlg\DlgDungeonHappyMain.prefab   免费移动次数: 0/5
undles\UI\Dlg\DlgDungeonHappyMain.prefab   开始移动
undles\UI\Dlg\DlgDungeonHappyMain.prefab   钻石移动
undles\UI\Dlg\DlgDungeonHappyMain.prefab   拾取道具
undles\UI\Dlg\DlgDungeonHappyMain.prefab   活动结束倒计时 0:0
undles\UI\Dlg\DlgDungeonLevel.prefab   选择当前难度
undles\UI\Dlg\DlgDungeonLevel.prefab   激活等级:15级
undles\UI\Dlg\DlgDungeonLevel.prefab   适合刚进入的探险者
undles\UI\Dlg\DlgDungeonLevel.prefab   适合经常探险,爆率提升20%
undles\UI\Dlg\DlgDungeonLevel.prefab   苦难难度
undles\UI\Dlg\DlgDungeonLevel.prefab   不容一丝懈怠,爆率提升50%
undles\UI\Dlg\DlgDungeonLevel.prefab   地狱难度
undles\UI\Dlg\DlgDungeonLevel.prefab   第一章   洛兰森林
undles\UI\Dlg\DlgDungeonLevel.prefab   (冒险进度：0/7)
undles\UI\Dlg\DlgDungeonMap.prefab   洛兰郊外
undles\UI\Dlg\DlgDungeonMap.prefab   难度：适合刚进入的探险者
undles\UI\Dlg\DlgDungeonMap.prefab   怪物爆率：提升50%
undles\UI\Dlg\DlgDungeonMap.prefab   普通
undles\UI\Dlg\DlgDungeonMap.prefab   冒险
undles\UI\Dlg\DlgDungeonMap.prefab   王者
undles\UI\Dlg\DlgDungeonMap.prefab   立即进入
undles\UI\Dlg\DlgDungeonMap.prefab   未通关
undles\UI\Dlg\DlgDungeonMap.prefab   已通关
undles\UI\Dlg\DlgDungeonMap.prefab   领主刷新
undles\UI\Dlg\DlgDungeonMap.prefab   最近领主刷新时间：0时0分
undles\UI\Dlg\DlgDungeonMap.prefab   刷新列表
undles\UI\Dlg\DlgDungeonMapTransfer.prefab   章节名称
undles\UI\Dlg\DlgEnterMapHint.prefab   地图内发现神秘的东西,需要你探索发现哦！
undles\UI\Dlg\DlgEnterMapHint.prefab   曙光之地
undles\UI\Dlg\DlgEquipmentIncrease.prefab   增幅
undles\UI\Dlg\DlgEquipmentIncrease.prefab   转移
undles\UI\Dlg\DlgFangChengMiTip.prefab   防沉迷提示
undles\UI\Dlg\DlgFangChengMiTip.prefab   确定
undles\UI\Dlg\DlgFashionExplain.prefab   时装属性效果
undles\UI\Dlg\DlgFenXiang.prefab   分享
undles\UI\Dlg\DlgFenXiang.prefab   推广
undles\UI\Dlg\DlgFenXiang.prefab   序列号
undles\UI\Dlg\DlgFenXiang.prefab   论坛
undles\UI\Dlg\DlgFenXiang.prefab   加群福利
undles\UI\Dlg\DlgFirstWinBossSkill.prefab   技能技能技能技能技能技能技能技能技能技能技能技能技能技能技能技能技能技能技能技能
undles\UI\Dlg\DlgFirstWinBossSkill.prefab   领主详情
undles\UI\Dlg\DlgFirstWinReward.prefab   普通奖励
undles\UI\Dlg\DlgFirstWinReward.prefab   困难奖励
undles\UI\Dlg\DlgFirstWinReward.prefab   地狱奖励
undles\UI\Dlg\DlgFirstWinReward.prefab   提示:奖励为全服首次击败怪物的玩家获得,邮件自动发放。
undles\UI\Dlg\DlgFriend.prefab   申请
undles\UI\Dlg\DlgFriend.prefab   黑名单
undles\UI\Dlg\DlgFunction.prefab   关卡系统
undles\UI\Dlg\DlgFunction.prefab   宠物乱斗
undles\UI\Dlg\DlgFunction.prefab   福运天降
undles\UI\Dlg\DlgFunction.prefab   任务系统
undles\UI\Dlg\DlgFunction.prefab   角色系统
undles\UI\Dlg\DlgFunction.prefab   宠物系统
undles\UI\Dlg\DlgFunction.prefab   技能系统
undles\UI\Dlg\DlgFunction.prefab   好友系统
undles\UI\Dlg\DlgFunction.prefab   成就系统
undles\UI\Dlg\DlgFunction.prefab   宠物布阵
undles\UI\Dlg\DlgFunction.prefab   公会系统
undles\UI\Dlg\DlgFunction.prefab   设置
undles\UI\Dlg\DlgGemMake.prefab   消耗金币:
undles\UI\Dlg\DlgGemMake.prefab   当前金币:  100
undles\UI\Dlg\DlgGemMake.prefab   合成宝石
undles\UI\Dlg\DlgGemMake.prefab   宝石合成
undles\UI\Dlg\DlgGemMake.prefab   需要材料
undles\UI\Dlg\DlgGivePet.prefab   携带宠物数量：
undles\UI\Dlg\DlgGivePet.prefab   提交宠物
undles\UI\Dlg\DlgGivePet.prefab   上交一只6技能以上的宠物上交一只6技能以上的宠物
undles\UI\Dlg\DlgGivePet.prefab   任务要求
undles\UI\Dlg\DlgGiveTask.prefab   提交道具
undles\UI\Dlg\DlgGiveTask.prefab   给与道具
undles\UI\Dlg\DlgGM.prefab   在线人数
undles\UI\Dlg\DlgGM.prefab   发送邮件
undles\UI\Dlg\DlgGM.prefab   道具
undles\UI\Dlg\DlgGM.prefab   全服广播
undles\UI\Dlg\DlgGM.prefab   本服广播
undles\UI\Dlg\DlgGM.prefab   广播内容
undles\UI\Dlg\DlgGM.prefab   服务器热重载
undles\UI\Dlg\DlgGM.prefab   热重载值
undles\UI\Dlg\DlgGM.prefab   通用指令
undles\UI\Dlg\DlgGM.prefab   通用
undles\UI\Dlg\DlgGuide.prefab   礼包
undles\UI\Dlg\DlgHappyMain.prefab   免费移动
undles\UI\Dlg\DlgHappyMain.prefab   距离下次刷新奖励的时间  10:00
undles\UI\Dlg\DlgHongBao.prefab   天降红包
undles\UI\Dlg\DlgHongBao.prefab   恭喜发财
undles\UI\Dlg\DlgHongBao.prefab   恭喜获得
undles\UI\Dlg\DlgHongBao.prefab   点击拆开
undles\UI\Dlg\DlgHunt.prefab   狩猎
undles\UI\Dlg\DlgItemBatchUse.prefab   数量:
undles\UI\Dlg\DlgItemBatchUse.prefab   消耗钻石开启可以获得更多经验!
undles\UI\Dlg\DlgItemBatchUse.prefab   道具使用
undles\UI\Dlg\DlgItemExpBox.prefab   免费开启
undles\UI\Dlg\DlgItemExpBox.prefab   钻石开启
undles\UI\Dlg\DlgItemFumoSelect.prefab   请选择对应的饰品进行附魔
undles\UI\Dlg\DlgItemFumoSelect.prefab   提示：点击对应部位即可进行附魔
undles\UI\Dlg\DlgItemSellTip.prefab   出售数量
undles\UI\Dlg\DlgItemSellTip.prefab   出售总价
undles\UI\Dlg\DlgItemSellTip.prefab   出售道具
undles\UI\Dlg\DlgItemTips.prefab   类型：消耗品
undles\UI\Dlg\DlgItemTips.prefab   赞助任意额度即可打开可获得奖励：\n随机极品装备盒子*1个\n金币*5万\n宠物蛋*1个\n经验盒子*10个\n挑战铃铛*3个\n金钥匙*1个\n称号:名扬四海
undles\UI\Dlg\DlgItemTips.prefab   (附灵)
undles\UI\Dlg\DlgItemTips.prefab   此宠物已经被神物附灵，更容易孵化出更强力的宠物哦！
undles\UI\Dlg\DlgItemTips.prefab   拆分
undles\UI\Dlg\DlgItemTips.prefab   播种
undles\UI\Dlg\DlgJiaYuanBag.prefab   我的种子
undles\UI\Dlg\DlgJiaYuanBag.prefab   种子
undles\UI\Dlg\DlgJiaYuanBag.prefab   种子\n
undles\UI\Dlg\DlgJiaYuanBag.prefab   种植植物
undles\UI\Dlg\DlgJiaYuanDaShi.prefab   大师
undles\UI\Dlg\DlgJiaYuanDaShi.prefab   美味
undles\UI\Dlg\DlgJiaYuanFood.prefab   收购
undles\UI\Dlg\DlgJiaYuanFood.prefab   烹饪
undles\UI\Dlg\DlgJiaYuanFood.prefab   食谱
undles\UI\Dlg\DlgJiaYuanMain.prefab   耕地
undles\UI\Dlg\DlgJiaYuanMain.prefab   人口
undles\UI\Dlg\DlgJiaYuanMenu.prefab   种植
undles\UI\Dlg\DlgJiaYuanMenu.prefab   查看
undles\UI\Dlg\DlgJiaYuanMenu.prefab   收获
undles\UI\Dlg\DlgJiaYuanMenu.prefab   铲除
undles\UI\Dlg\DlgJiaYuanMenu.prefab   驱赶
undles\UI\Dlg\DlgJiaYuanMenu.prefab   开启
undles\UI\Dlg\DlgJiaYuanMenu.prefab   打扫
undles\UI\Dlg\DlgJiaYuanOneKeyPlant.prefab   一键种植
undles\UI\Dlg\DlgJiaYuanOneKeyPlant.prefab   开始种植
undles\UI\Dlg\DlgJiaYuanOneKeyPlant.prefab   可以种植地数量:1/1
undles\UI\Dlg\DlgJiaYuanPet.prefab   宠物
undles\UI\Dlg\DlgJiaYuanPet.prefab   仓库
undles\UI\Dlg\DlgJiaYuanPetFeed.prefab   喂食
undles\UI\Dlg\DlgJiaYuanPetFeed.prefab   心情
undles\UI\Dlg\DlgJiaYuanPetFeed.prefab   经验收益: 200/小时
undles\UI\Dlg\DlgJiaYuanPetFeed.prefab   --请选择要喂食的道具--
undles\UI\Dlg\DlgJiaYuanPlanWatch.prefab   向日葵
undles\UI\Dlg\DlgJiaYuanPlanWatch.prefab   发芽期
undles\UI\Dlg\DlgJiaYuanPlanWatch.prefab   当前阶段 ： 发芽期
undles\UI\Dlg\DlgJiaYuanPlanWatch.prefab   下一阶段： 10：00：00
undles\UI\Dlg\DlgJiaYuanPlanWatch.prefab   预计收获： 10：00：00
undles\UI\Dlg\DlgJiaYuanPlanWatch.prefab   收获道具
undles\UI\Dlg\DlgJiaYuanPlanWatch.prefab   查看信息
undles\UI\Dlg\DlgJiaYuanPlanWatch.prefab   收获时间： 10：00：00
undles\UI\Dlg\DlgJiaYuanRecord.prefab   家园来访信息
undles\UI\Dlg\DlgJiaYuanRecord.prefab   玩家幸福的瞬间来到你的家园。
undles\UI\Dlg\DlgJiaYuanTreasureMapStorage.prefab   提示：此仓库只可存储藏宝图和生活技能相关道具
undles\UI\Dlg\DlgJiaYuanTreasureMapStorage.prefab   储藏
undles\UI\Dlg\DlgJiaYuanTreasureMapStorage.prefab   一键取出
undles\UI\Dlg\DlgJiaYuanTreasureMapStorage.prefab   藏宝图
undles\UI\Dlg\DlgJiaYuanTreasureMapStorage.prefab   生活
undles\UI\Dlg\DlgJiaYuanUpLv.prefab   耕地：
undles\UI\Dlg\DlgJiaYuanUpLv.prefab   人口：
undles\UI\Dlg\DlgJiaYuanUpLv.prefab   幸福瞬间的家园
undles\UI\Dlg\DlgJiaYuanUpLv.prefab   等级:1级
undles\UI\Dlg\DlgJiaYuanUpLv.prefab   家园经验
undles\UI\Dlg\DlgJiaYuanUpLv.prefab   人口上线提升至10
undles\UI\Dlg\DlgJiaYuanUpLv.prefab   兑换家园资金
undles\UI\Dlg\DlgJiaYuanUpLv.prefab   兑换家园经验
undles\UI\Dlg\DlgJiaYuanUpLv.prefab   升级家园
undles\UI\Dlg\DlgJiaYuanUpLv.prefab   提示: 经验产出1000/小时,预计5小时后可升级家园
undles\UI\Dlg\DlgJiaYuanUpLv.prefab   兑换次数：10/10
undles\UI\Dlg\DlgJiaYuanUpLv.prefab   升级后可获得
undles\UI\Dlg\DlgJingLingGet.prefab   皮肤名称
undles\UI\Dlg\DlgJingLingGet.prefab   恭喜你成功抓捕精灵!
undles\UI\Dlg\DlgJingLingGet.prefab   点击任意地点关闭此界面。
undles\UI\Dlg\DlgJueXing.prefab   觉醒
undles\UI\Dlg\DlgJueXing.prefab   列表
undles\UI\Dlg\DlgLoading.prefab   游戏加载中
undles\UI\Dlg\DlgLoading.prefab   正在加载数据中
undles\UI\Dlg\DlgLobby.prefab   进入地图
undles\UI\Dlg\DlgLogin.prefab   登录
undles\UI\Dlg\DlgLSLogin.prefab   请输入帐号
undles\UI\Dlg\DlgLSLogin.prefab   请输入密码
undles\UI\Dlg\DlgMail.prefab   你还未收到邮件!
undles\UI\Dlg\DlgMail.prefab   全部领取
undles\UI\Dlg\DlgMail.prefab   数量：
undles\UI\Dlg\DlgMail.prefab   邮件列表
undles\UI\Dlg\DlgMail.prefab   邮件信息
undles\UI\Dlg\DlgMail.prefab   邮件附件
undles\UI\Dlg\DlgMail.prefab   邮件
undles\UI\Dlg\DlgMail.prefab   邮件内容
undles\UI\Dlg\DlgMail.prefab   领取邮件
undles\UI\Dlg\DlgMail.prefab   提示:邮箱内的邮件,最多保留100封邮件喔！
undles\UI\Dlg\DlgMain.prefab   宠物名称七个字
undles\UI\Dlg\DlgMain.prefab   等级: 10
undles\UI\Dlg\DlgMain.prefab   活力 100/100
undles\UI\Dlg\DlgMain.prefab   先锋1区
undles\UI\Dlg\DlgMain.prefab   我的名字七个字
undles\UI\Dlg\DlgMain.prefab   体力 100/100
undles\UI\Dlg\DlgMain.prefab   战力:99
undles\UI\Dlg\DlgMain.prefab   吟唱中，请及时打断
undles\UI\Dlg\DlgMain.prefab   伤害输出
undles\UI\Dlg\DlgMain.prefab   玩家：1000
undles\UI\Dlg\DlgMain.prefab   宠物：1000
undles\UI\Dlg\DlgMain.prefab   狼王
undles\UI\Dlg\DlgMain.prefab   归属：
undles\UI\Dlg\DlgMain.prefab   初级领主
undles\UI\Dlg\DlgMain.prefab   点击前往领取主线任务
undles\UI\Dlg\DlgMain.prefab   功能
undles\UI\Dlg\DlgMain.prefab   罗兰洞窟
undles\UI\Dlg\DlgMain.prefab   雨
undles\UI\Dlg\DlgMain.prefab   奔跑比赛
undles\UI\Dlg\DlgMain.prefab   每日
undles\UI\Dlg\DlgMain.prefab   商城
undles\UI\Dlg\DlgMain.prefab   阵营
undles\UI\Dlg\DlgMain.prefab   正能量
undles\UI\Dlg\DlgMain.prefab   时装
undles\UI\Dlg\DlgMain.prefab   恶魔活动
undles\UI\Dlg\DlgMain.prefab   赛季
undles\UI\Dlg\DlgMain.prefab   新活动
undles\UI\Dlg\DlgMain.prefab   GM工具
undles\UI\Dlg\DlgMain.prefab   交易
undles\UI\Dlg\DlgMain.prefab   随机副本
undles\UI\Dlg\DlgMain.prefab   击败怪物
undles\UI\Dlg\DlgMain.prefab   等级奖励
undles\UI\Dlg\DlgMain.prefab   20级领取
undles\UI\Dlg\DlgMain.prefab   进入探险
undles\UI\Dlg\DlgMain.prefab   宠物探险
undles\UI\Dlg\DlgMain.prefab   组队副本
undles\UI\Dlg\DlgMain.prefab   返回建筑
undles\UI\Dlg\DlgMain.prefab   我的家园
undles\UI\Dlg\DlgMain.prefab   对话
undles\UI\Dlg\DlgMain.prefab   家族领地
undles\UI\Dlg\DlgMain.prefab   帧数: 60
undles\UI\Dlg\DlgMain.prefab   延迟: 1
undles\UI\Dlg\DlgMain.prefab   数量: 1000
undles\UI\Dlg\DlgMain.prefab   开启中……
undles\UI\Dlg\DlgMain.prefab   挖
undles\UI\Dlg\DlgMain.prefab   施法中...
undles\UI\Dlg\DlgMain.prefab   当前正在挂机中...
undles\UI\Dlg\DlgMain.prefab   停止挂机
undles\UI\Dlg\DlgMain.prefab   持续:
undles\UI\Dlg\DlgMakeLearn.prefab   学习列表
undles\UI\Dlg\DlgMakeLearn.prefab   制造配方
undles\UI\Dlg\DlgMakeLearn.prefab   熟练度
undles\UI\Dlg\DlgMakeLearn.prefab   学习消耗:
undles\UI\Dlg\DlgMakeLearn.prefab   需要技巧:
undles\UI\Dlg\DlgMakeLearn.prefab   锻造技能
undles\UI\Dlg\DlgMakeLearn.prefab   附魔技能
undles\UI\Dlg\DlgMakeLearn.prefab   提示:请谨慎选择自己的生活技能,只能选择1个进行学习！
undles\UI\Dlg\DlgMapBig.prefab   摆摊区域
undles\UI\Dlg\DlgMapBig.prefab   传送点
undles\UI\Dlg\DlgMapBig.prefab   领主\n
undles\UI\Dlg\DlgMapBig.prefab   家园宠物
undles\UI\Dlg\DlgMapBig.prefab   家园垃圾
undles\UI\Dlg\DlgMapBig.prefab   精灵\n
undles\UI\Dlg\DlgMapBig.prefab   显示怪物
undles\UI\Dlg\DlgMapBig.prefab   主城地图
undles\UI\Dlg\DlgMJLobby.prefab   进入游戏
undles\UI\Dlg\DlgMJLobby.prefab   删除角色
undles\UI\Dlg\DlgMJLogin.prefab   已阅读并同意《用户协议》以及《隐私协议》
undles\UI\Dlg\DlgMJLogin.prefab   网通1区
undles\UI\Dlg\DlgMJLogin.prefab   选择服务器
undles\UI\Dlg\DlgMJLogin.prefab   切换账号
undles\UI\Dlg\DlgMJLogin.prefab   删除账号
undles\UI\Dlg\DlgMJLogin.prefab   弹框
undles\UI\Dlg\DlgMJLogin.prefab   多个tips
undles\UI\Dlg\DlgMJLogin.prefab   消息框
undles\UI\Dlg\DlgMJLogin.prefab   请输入账户...
undles\UI\Dlg\DlgMJLogin.prefab   请输入密码...
undles\UI\Dlg\DlgMJLogin.prefab   实名认证
undles\UI\Dlg\DlgMJLogin.prefab   抵制不良游戏，拒绝盗版游戏。注意自我保护，谨防受骗上当。适度游戏益脑，沉迷游戏伤身。合理安排时间，享受健康生活。
undles\UI\Dlg\DlgMJLogin.prefab   感谢名单
undles\UI\Dlg\DlgMJLogin.prefab   更新公告
undles\UI\Dlg\DlgMJLogin.prefab   登录中...
undles\UI\Dlg\DlgMJLogin.prefab   已阅读并同意《用户协议》及《隐私协议》
undles\UI\Dlg\DlgMJLogin.prefab   登录游戏
undles\UI\Dlg\DlgMJLogin.prefab   提示:手机和微信登录支持安卓和苹果设备切换,QQ登录不支持。
undles\UI\Dlg\DlgMJLogin.prefab   QQ登录
undles\UI\Dlg\DlgMJLogin.prefab   微信登录
undles\UI\Dlg\DlgMJLogin.prefab   注册
undles\UI\Dlg\DlgMJLogin.prefab   手机登录
undles\UI\Dlg\DlgMJLogin.prefab   Tap登录
undles\UI\Dlg\DlgMJLogin.prefab   账号注册
undles\UI\Dlg\DlgMJLogin.prefab   请输入手机号
undles\UI\Dlg\DlgMJLogin.prefab   点击获取验证码
undles\UI\Dlg\DlgMJLogin.prefab   获取信息中...
undles\UI\Dlg\DlgMJLogin.prefab   请输入验证码
undles\UI\Dlg\DlgMJLogin.prefab   提交验证码
undles\UI\Dlg\DlgMJLogin.prefab   请选择一种登录方式创建账号登录游戏
undles\UI\Dlg\DlgMJLogin.prefab   本机号码一键登录
undles\UI\Dlg\DlgMJLogin.prefab   其他登录方式
undles\UI\Dlg\DlgMJLogin.prefab   用户协议
